id,label,modularity_class,pageranks,expected_class
AjaeSejeong_828,AjaeSejeong_828,1,0.007852721,0
BlossomRoad_504,BlossomRoad_504,1,0.005835675,0
hotisyoo1112,hotisyoo1112,1,0.004204543,2
MiMiland0101,MiMiland0101,0,0.010781664,0
Johwahae828_,Johwahae828_,1,0.00534936,0
sejeonggirls,sejeonggirls,0,0.011509559,0
WillBeThereDot,WillBeThereDot,1,0.007286526,0
piglet960828,piglet960828,1,0.010218422,0
sejeongdays,sejeongdays,1,0.004927578,0
BeMyLoveSJ,BeMyLoveSJ,1,0.005426114,0
NangNang_SJ,NangNang_SJ,1,0.005870552,0
kimsejeongnet,kimsejeongnet,1,0.007785715,0
only_clover,only_clover,1,0.003530952,0
gu9udan,gu9udan,1,0.029820002,0
ioi_official_,ioi_official_,3,0.044530915,2
kangmina_com,kangmina_com,0,0.00503011,0
gugudan_fanta,gugudan_fanta,0,0.008345702,0
951123_402,951123_402,0,0.009908399,0
GhostCopter,GhostCopter,0,0.005334403,0
961023_com,961023_com,0,0.007188619,0
99mena_1204,99mena_1204,0,0.011775041,0
MN_Jeju_Diva,MN_Jeju_Diva,0,0.014216283,0
WONGOZE99,WONGOZE99,0,0.009375205,0
kkyul99,kkyul99,0,0.012510926,0
myaurora9X9,myaurora9X9,0,0.003175976,0
orangemina_,orangemina_,0,0.0097414,0
Rabong_Nabee,Rabong_Nabee,0,0.009472881,0
HANAflower0430,HANAflower0430,0,0.013076964,0
Minafly49,Minafly49,0,0.002678631,0
kangmina_net,kangmina_net,0,0.014228248,0
MIMIBEST100,MIMIBEST100,0,0.005663499,0
everglow_kr,everglow_kr,1,0.00650342,0
naked_deer_,naked_deer_,1,0.001518599,0
flowerroad0828,flowerroad0828,0,0.006689974,0
971201c,971201c,3,0.009666119,1
By_KillK,By_KillK,3,0.003665925,2
Elf_ChoiYJ,Elf_ChoiYJ,3,0.002194358,2
19930101com,19930101com,1,0.001548132,0
hyebly01,hyebly01,0,0.004545072,0
1201jcy,1201jcy,2,0.010101096,1
hlayk1201,hlayk1201,2,0.007822275,1
Chul1215,Chul1215,2,0.005313074,1
Days362,Days362,2,0.005720137,1
Kangminahk,Kangminahk,0,0.007137322,0
UNREQULOVE_MINA,UNREQULOVE_MINA,3,0.002819086,0
dearmybaby_mn,dearmybaby_mn,3,0.002819086,0
SourireSALLYhk,SourireSALLYhk,1,0.001548132,0
Onederland_Hn,Onederland_Hn,1,0.002931264,0
930430net,930430net,1,0.003893836,0
heimish_hana,heimish_hana,0,0.005156111,0
withhanahada,withhanahada,0,0.00227851,0
hanaliss430,hanaliss430,0,0.004835737,0
HanaParada,HanaParada,0,0.003250452,0
MIMI_930101,MIMI_930101,1,0.006154014,0
megabox_GU9UDAN,megabox_GU9UDAN,1,0.002295414,0
Howfreshyouare,Howfreshyouare,1,0.008127112,0
wonderland_gx9,wonderland_gx9,1,0.002295414,0
930101_com,930101_com,1,0.003010476,0
19930430com,19930430com,0,0.002469058,0
godsmile0828,godsmile0828,0,0.010540529,0
goddess_93hn,goddess_93hn,1,0.002931264,0
gu9udans,gu9udans,1,0.005047329,0
juice_mina,juice_mina,0,0.00145784,0
IOI_STUDIO,IOI_STUDIO,3,0.011020703,2
whitecanvas__,whitecanvas__,0,0.002101645,0
jelisheismine,jelisheismine,1,0.003328094,0
amorfati0828,amorfati0828,1,0.006134365,0
Secret_Sejeong,Secret_Sejeong,1,0.003583087,0
EunJinHouse,EunJinHouse,2,0.00291309,1
yesiloveit11,yesiloveit11,3,0.00445423,2
sejeonga_,sejeonga_,3,0.002200609,0
YMC_ent,YMC_ent,3,0.01125798,2
kangpanda1204,kangpanda1204,0,0.001447396,0
sjbaby0828,sjbaby0828,1,0.008097338,0
florbonita_ksj,florbonita_ksj,1,0.007822864,0
0209x0828,0209x0828,3,0.002748135,2
unclasssified,unclasssified,1,0.007894976,0
petitbonbon_cy,petitbonbon_cy,3,0.005154715,1
gu9usubs,gu9usubs,1,0.001548132,0
clowninlove_SJ,clowninlove_SJ,1,0.001563056,0
Giyomadol,Giyomadol,1,0.007275066,0
ToEunchae,ToEunchae,2,0.001557079,1
dia_official,dia_official,2,0.043393449,1
yebinhouse,yebinhouse,2,0.005834406,1
_soyulmate,_soyulmate,2,0.003755445,1
JNmarmelo,JNmarmelo,2,0.008403535,1
U_Reminiscence,U_Reminiscence,2,0.003323486,1
baekhug7,baekhug7,2,0.003275976,1
Ilikeit1201,Ilikeit1201,2,0.003763343,1
diaade0915,diaade0915,2,0.002658114,1
Peridot_Clover,Peridot_Clover,2,0.003912615,1
914_713,914_713,2,0.003275976,1
dearsdia,dearsdia,2,0.004949868,1
DIAbarofficial,DIAbarofficial,2,0.012667198,1
khhhome_com,khhhome_com,2,0.011871554,1
AroundBlue_,AroundBlue_,2,0.005998837,1
eusonice0902,eusonice0902,2,0.007897636,1
970713__com,970713__com,2,0.017191721,1
pinkblossom_kr,pinkblossom_kr,2,0.00982228,1
JoyfulJ_Dot,JoyfulJ_Dot,2,0.004994335,1
EunJin10ver,EunJin10ver,2,0.004264905,1
ChunsaEunJin,ChunsaEunJin,2,0.002006363,1
Dayofdia915,Dayofdia915,2,0.002749856,1
JChaeyeon_Bar,JChaeyeon_Bar,3,0.003625882,1
