Source,Target,Type
AjaeSejeong_828,BlossomRoad_504,undirected
AjaeSejeong_828,hotisyoo1112,undirected
AjaeSejeong_828,MiMiland0101,undirected
AjaeSejeong_828,Johwahae828_,undirected
AjaeSejeong_828,sejeonggirls,undirected
AjaeSejeong_828,WillBeThereDot,undirected
AjaeSejeong_828,piglet960828,undirected
AjaeSejeong_828,sejeongdays,undirected
AjaeSejeong_828,BeMyLoveSJ,undirected
AjaeSejeong_828,NangNang_SJ,undirected
AjaeSejeong_828,kimsejeongnet,undirected
only_clover,piglet960828,undirected
only_clover,gu9udan,undirected
only_clover,ioi_official_,undirected
kangmina_com,ioi_official_,undirected
kangmina_com,gu9udan,undirected
gugudan_fanta,951123_402,undirected
gugudan_fanta,GhostCopter,undirected
gugudan_fanta,961023_com,undirected
gugudan_fanta,piglet960828,undirected
gugudan_fanta,MiMiland0101,undirected
gugudan_fanta,99mena_1204,undirected
gugudan_fanta,MN_Jeju_Diva,undirected
gugudan_fanta,WONGOZE99,undirected
gugudan_fanta,kkyul99,undirected
gugudan_fanta,gu9udan,undirected
myaurora9X9,orangemina_,undirected
myaurora9X9,99mena_1204,undirected
myaurora9X9,gu9udan,undirected
Rabong_Nabee,HANAflower0430,undirected
Rabong_Nabee,WONGOZE99,undirected
Rabong_Nabee,99mena_1204,undirected
Rabong_Nabee,Minafly49,undirected
Rabong_Nabee,piglet960828,undirected
Rabong_Nabee,kkyul99,undirected
Rabong_Nabee,kangmina_net,undirected
Rabong_Nabee,951123_402,undirected
99mena_1204,GhostCopter,undirected
99mena_1204,sejeonggirls,undirected
99mena_1204,MIMIBEST100,undirected
99mena_1204,kimsejeongnet,undirected
99mena_1204,everglow_kr,undirected
99mena_1204,WONGOZE99,undirected
99mena_1204,MN_Jeju_Diva,undirected
99mena_1204,951123_402,undirected
99mena_1204,gugudan_fanta,undirected
99mena_1204,kangmina_com,undirected
99mena_1204,myaurora9X9,undirected
WONGOZE99,99mena_1204,undirected
WONGOZE99,sejeonggirls,undirected
WONGOZE99,gugudan_fanta,undirected
WONGOZE99,MIMIBEST100,undirected
WONGOZE99,gu9udan,undirected
WONGOZE99,kimsejeongnet,undirected
WONGOZE99,kkyul99,undirected
WONGOZE99,orangemina_,undirected
piglet960828,naked_deer_,undirected
piglet960828,AjaeSejeong_828,undirected
piglet960828,NangNang_SJ,undirected
flowerroad0828,971201c,undirected
flowerroad0828,MN_Jeju_Diva,undirected
flowerroad0828,kkyul99,undirected
flowerroad0828,MiMiland0101,undirected
flowerroad0828,Rabong_Nabee,undirected
flowerroad0828,By_KillK,undirected
flowerroad0828,Elf_ChoiYJ,undirected
19930101com,gu9udan,undirected
hyebly01,MIMIBEST100,undirected
hyebly01,sejeonggirls,undirected
hyebly01,GhostCopter,undirected
hyebly01,1201jcy,undirected
hyebly01,hlayk1201,undirected
hyebly01,Chul1215,undirected
Minafly49,MN_Jeju_Diva,undirected
Minafly49,Days362,undirected
Kangminahk,UNREQULOVE_MINA,undirected
Kangminahk,99mena_1204,undirected
Kangminahk,kangmina_com,undirected
Kangminahk,Rabong_Nabee,undirected
Kangminahk,dearmybaby_mn,undirected
Kangminahk,kangmina_net,undirected
Kangminahk,orangemina_,undirected
Kangminahk,ioi_official_,undirected
Kangminahk,gu9udan,undirected
SourireSALLYhk,gu9udan,undirected
MIMIBEST100,WONGOZE99,undirected
MIMIBEST100,sejeonggirls,undirected
MIMIBEST100,gu9udan,undirected
MIMIBEST100,kkyul99,undirected
Onederland_Hn,930430net,undirected
Onederland_Hn,HANAflower0430,undirected
Onederland_Hn,gu9udan,undirected
UNREQULOVE_MINA,ioi_official_,undirected
UNREQULOVE_MINA,gu9udan,undirected
heimish_hana,withhanahada,undirected
heimish_hana,hanaliss430,undirected
heimish_hana,MiMiland0101,undirected
heimish_hana,961023_com,undirected
heimish_hana,HanaParada,undirected
heimish_hana,HANAflower0430,undirected
MIMI_930101,megabox_GU9UDAN,undirected
MIMI_930101,MIMIBEST100,undirected
MIMI_930101,gu9udan,undirected
MIMI_930101,Howfreshyouare,undirected
MIMI_930101,wonderland_gx9,undirected
MIMI_930101,930101_com,undirected
MIMI_930101,MiMiland0101,undirected
HanaParada,MiMiland0101,undirected
HanaParada,19930430com,undirected
MiMiland0101,godsmile0828,undirected
MiMiland0101,961023_com,undirected
MiMiland0101,kangmina_net,undirected
MiMiland0101,gugudan_fanta,undirected
MiMiland0101,gu9udan,undirected
MiMiland0101,HANAflower0430,undirected
HANAflower0430,MN_Jeju_Diva,undirected
HANAflower0430,961023_com,undirected
HANAflower0430,951123_402,undirected
HANAflower0430,hanaliss430,undirected
HANAflower0430,kangmina_net,undirected
HANAflower0430,gu9udan,undirected
goddess_93hn,930430net,undirected
goddess_93hn,HANAflower0430,undirected
goddess_93hn,gu9udan,undirected
withhanahada,gu9udan,undirected
hanaliss430,HANAflower0430,undirected
hanaliss430,930430net,undirected
hanaliss430,gu9udan,undirected
megabox_GU9UDAN,gu9udan,undirected
961023_com,HANAflower0430,undirected
961023_com,MN_Jeju_Diva,undirected
961023_com,kangmina_net,undirected
961023_com,godsmile0828,undirected
930430net,gu9udan,undirected
19930430com,gu9udan,undirected
930101_com,gu9udan,undirected
930101_com,gu9udans,undirected
juice_mina,kkyul99,undirected
dearmybaby_mn,ioi_official_,undirected
dearmybaby_mn,gu9udan,undirected
kkyul99,951123_402,undirected
kkyul99,kangmina_com,undirected
kkyul99,GhostCopter,undirected
kkyul99,piglet960828,undirected
kkyul99,gugudan_fanta,undirected
kkyul99,99mena_1204,undirected
kkyul99,everglow_kr,undirected
kkyul99,kimsejeongnet,undirected
kkyul99,gu9udan,undirected
kkyul99,kangmina_net,undirected
kkyul99,orangemina_,undirected
Howfreshyouare,IOI_STUDIO,undirected
Howfreshyouare,piglet960828,undirected
Howfreshyouare,HANAflower0430,undirected
Howfreshyouare,whitecanvas__,undirected
Howfreshyouare,gugudan_fanta,undirected
Howfreshyouare,jelisheismine,undirected
